Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
84,Thiago Borbas,uy URU,FW,Bragantino,20,2002,15.9,33,02.08,25,0,3,3,2,0,4,0.25,3,0,0,0,1,0,Matches
85,Ângelo Borges,br BRA,"FW,MF",Santos,18,2004,6.0,21,3.49,17,0,3,0,1,0,2,0.33,1,0,1,0,0,0,Matches
86,Daniel Borges,br BRA,DF,América (MG),29,1993,8.9,22,2.48,18,2,2,0,0,0,2,0.23,2,0,0,0,0,0,Matches
87,Daniel Borges,br BRA,DF,Botafogo (RJ),29,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Marllon Borges,br BRA,DF,Cuiabá,30,1992,36.0,10,0.28,8,0,0,2,0,0,1,0.03,0,0,0,1,0,0,Matches
89,Pedro Borges,br BRA,"MF,FW",Fortaleza,25,1997,6.3,12,1.91,9,0,0,1,0,2,2,0.32,1,0,0,1,0,0,Matches
90,Gabriel Boschilia,br BRA,"MF,FW",Coritiba,26,1996,3.8,11,2.88,6,2,2,1,0,0,1,0.26,1,0,0,0,0,0,Matches
91,Lucas Braga,br BRA,"DF,FW",Santos,26,1996,22.1,41,1.84,28,5,5,1,2,0,2,0.09,1,0,0,0,1,0,Matches
92,David Braz,br BRA,DF,Fluminense,35,1987,9.6,10,01.04,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Brenno,br BRA,GK,Grêmio,23,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Breno,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Breno,br BRA,FW,Palmeiras,27,1996,15.2,37,2.44,23,0,1,1,10,2,6,0.40,3,0,0,1,2,0,Matches
96,Emanuel Brítez,ar ARG,DF,Fortaleza,30,1992,30.7,36,1.17,29,1,0,4,0,2,2,0.07,2,0,0,0,0,0,Matches
97,Bruninho,br BRA,"FW,MF",Bragantino,19,2003,7.9,37,4.66,22,4,4,4,3,0,2,0.25,1,0,1,0,0,0,Matches
98,Fabrício Bruno,br BRA,DF,Flamengo,26,1996,34.0,27,0.79,21,1,0,5,0,0,4,0.12,4,0,0,0,0,0,Matches
99,Vitor Bueno,br BRA,"MF,FW",Ath Paranaense,28,1994,23.1,137,5.95,88,34,6,5,3,1,14,0.61,10,1,0,1,1,1,Matches
100,Esteban Burgos,ar ARG,DF,América (MG),31,1992,3.3,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Fabricio Bustos,ar ARG,DF,Internacional,26,1996,27.8,66,2.38,54,3,1,5,2,1,6,0.22,6,0,0,0,0,0,Matches
102,Rafael Cabral,br BRA,GK,Cruzeiro,32,1990,37.0,5,0.14,5,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
103,Cacá,br BRA,DF,Ath Paranaense,23,1999,18.8,12,0.64,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Cadu,br BRA,DF,Santos,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Caetano,br BRA,DF,Corinthians,23,1999,13.4,8,0.60,7,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
106,Jonathan Cafu,br BRA,"FW,MF",Cuiabá,31,1991,19.0,55,2.90,45,1,4,2,3,0,6,0.32,4,0,0,0,2,0,Matches
107,Júnior Caiçara,br BRA,DF,Santos,33,1989,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Rodrigo Caio,br BRA,"MF,DF",Flamengo,29,1993,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,Caíque,br BRA,GK,Grêmio,25,1997,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Calebe,br BRA,"MF,FW",Fortaleza,22,2000,16.4,78,4.75,52,6,10,3,6,1,8,0.49,7,0,1,0,0,0,Matches
