Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
284,Sebastián Gómez,co COL,MF,Coritiba,26,1996,15.9,454,544,83.5,7085,1701,240,262,91.6,179,212,84.4,28,44,63.6,1,0.5,0.4,0.5,13,42,4,1,42,Matches
285,Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",América (MG),34,1988,8,99,161,61.5,1312,322,55,82,67.1,28,39,71.8,4,8,50,1,0.7,0.7,0.3,5,7,4,1,9,Matches
286,Diego Gonçalves,br BRA,"FW,MF",Goiás,28,1994,4,87,115,75.7,1180,310,56,67,83.6,22,31,71,4,7,57.1,0,0.4,0.3,-0.4,4,4,6,2,11,Matches
287,Mateus Gonçalves Martins,br BRA,"MF,FW",América (MG),28,1994,0.7,23,28,82.1,345,54,12,13,92.3,9,10,90,1,2,50,0,0,0.1,0,0,0,0,0,0,Matches
288,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,17,2005,0.2,15,18,83.3,195,50,8,9,88.9,6,6,100,0,2,0,0,0.1,0,-0.1,1,0,1,0,3,Matches
289,Matheus Gonçalves,br BRA,"FW,MF",Bragantino,17,2005,5.1,212,275,77.1,3083,833,124,142,87.3,63,81,77.8,14,30,46.7,1,0.9,0.9,0.1,14,17,12,3,22,Matches
290,Yony González,co COL,"FW,MF",Fluminense,28,1994,6.4,89,129,69,929,145,74,82,90.2,11,27,40.7,1,4,25,1,0.7,0.6,0.3,7,2,4,1,4,Matches
291,Roger Guedes,br BRA,"FW,MF",Corinthians,26,1996,15,374,494,75.7,5623,1280,241,280,86.1,93,124,75,30,53,56.6,1,0.8,0.8,0.2,16,31,8,1,50,Matches
292,Guga,br BRA,DF,Fluminense,24,1998,16.8,838,980,85.5,12339,3794,491,523,93.9,266,310,85.8,55,84,65.5,3,2.1,1.8,0.9,18,54,18,6,73,Matches
293,Guilherme,br BRA,MF,Goiás,31,1991,20.6,684,918,74.5,12703,4372,297,348,85.3,267,323,82.7,99,200,49.5,6,3.2,3.9,2.8,48,66,11,2,103,Matches
294,Guilherme,br BRA,"FW,MF",Fortaleza,27,1995,15.7,330,509,64.8,5342,1497,163,204,79.9,127,186,68.3,25,80,31.3,3,2.9,1.8,0.1,22,28,19,7,29,Matches
295,Guilherme,br BRA,"DF,MF",Bragantino,20,2002,2.9,108,154,70.1,1660,791,60,70,85.7,39,60,65,6,13,46.2,0,0,0.1,0,1,9,3,1,11,Matches
