Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
67,Rodrigo Battaglia,ar ARG,MF,Atlético Mineiro,31,1991,19.2,39,29,15,22,2,20,37,54.1,17,22,9,13,12,51,22,1,Matches
68,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,25,1997,22.2,49,31,29,17,3,25,56,44.6,31,24,8,16,30,79,56,2,Matches
69,Matheus Belém,br BRA,DF,São Paulo,19,2003,1.9,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,5,0,Matches
70,Lucas Belezi,br BRA,DF,Ath Paranaense,19,2003,0.5,1,1,1,0,0,1,1,100.0,0,2,1,1,0,1,0,0,Matches
71,Ramiro Benetti,br BRA,MF,Cruzeiro,29,1993,4.5,7,6,1,5,1,1,7,14.3,6,4,1,3,1,8,1,0,Matches
72,Martín Benítez,ar ARG,"MF,FW",América (MG),28,1994,12.4,11,7,5,3,3,4,14,28.6,10,7,0,7,6,17,3,0,Matches
73,Bento,br BRA,GK,Ath Paranaense,23,1999,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,18,1,Matches
74,Lucas Beraldo,br BRA,DF,São Paulo,19,2003,24.0,28,21,19,8,1,18,27,66.7,9,36,23,13,24,52,89,2,Matches
75,Lucas Besozzi,ar ARG,"FW,MF",Grêmio,20,2003,4.4,5,2,4,1,0,3,6,50.0,3,3,0,3,5,10,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Matheus Bianqui,br BRA,MF,Coritiba,25,1998,15.8,44,25,11,30,3,17,36,47.2,19,34,10,24,20,64,33,0,Matches
77,Raul Bicalho,br BRA,DF,Bahia,23,1999,3.6,6,1,5,1,0,4,5,80.0,1,3,3,0,1,7,12,0,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,23,1999,18.4,27,20,18,6,3,13,22,59.1,9,24,6,18,31,58,56,0,Matches
79,Biel,br BRA,"FW,MF",Bahia,21,2001,15.1,17,11,5,10,2,5,23,21.7,18,17,3,14,14,31,8,0,Matches
80,Rafael Bilu,br BRA,FW,Cruzeiro,23,1999,1.0,2,0,0,1,1,0,0,,0,3,0,3,1,3,0,0,Matches
