Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
355,Justen,br BRA,DF,Fluminense,19,2003,0.6,2,1,2,0,0,1,2,50.0,1,1,0,1,2,4,4,0,Matches
356,Kaiki,br BRA,"DF,FW",Cruzeiro,19,2003,2.5,7,6,3,3,1,2,3,66.7,1,2,1,1,5,12,6,0,Matches
357,Kaio,br BRA,"MF,FW",Coritiba,18,2004,9.8,22,16,12,4,6,9,28,32.1,19,9,3,6,7,29,5,0,Matches
358,Lucas Kal,br BRA,MF,América (MG),26,1996,13.7,17,7,13,3,1,10,31,32.3,21,13,5,8,15,32,24,0,Matches
359,Walter Kannemann,ar ARG,DF,Grêmio,31,1991,26.2,50,33,30,18,2,27,52,51.9,25,36,16,20,45,95,116,0,Matches
360,Kanu,br BRA,DF,Bahia,25,1997,32.3,34,25,26,5,3,21,39,53.8,18,38,18,20,47,81,103,1,Matches
361,Alan Kardec,br BRA,"FW,MF",Atlético Mineiro,34,1989,2.9,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
362,Kauan,br BRA,FW,Fortaleza,17,2005,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
363,Vinicius Kaue,br BRA,"DF,MF",Ath Paranaense,19,2003,3.8,7,2,4,3,0,4,8,50.0,4,6,1,5,3,10,12,0,Matches
364,Kayque,br BRA,MF,Botafogo (RJ),22,2000,0.3,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,Matches
365,Renato Kayser,br BRA,"FW,MF",América (MG),26,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
366,Keiller,br BRA,GK,Internacional,26,1996,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,Matches
367,John Kennedy,br BRA,"FW,MF",Fluminense,20,2002,15.2,15,9,5,7,3,9,19,47.4,10,12,1,11,3,18,10,0,Matches
368,Keno,br BRA,"FW,MF",Fluminense,33,1989,17.9,31,15,11,14,6,16,31,51.6,15,11,1,10,10,41,18,0,Matches
369,Kevin,br BRA,"FW,DF",Palmeiras,20,2003,2.6,6,4,4,1,1,4,5,80.0,1,2,0,2,3,9,2,0,Matches
370,Kevyson,br BRA,DF,Santos,18,2004,10.8,30,23,18,11,1,13,22,59.1,9,8,3,5,22,52,22,1,Matches
371,Khellven,br BRA,DF,Ath Paranaense,21,2001,11.1,14,11,6,8,0,11,21,52.4,10,9,5,4,16,30,29,0,Matches
372,Maurício Kozlinski,br BRA,GK,Fortaleza,31,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
373,Benjamín Kuscevic,cl CHI,DF,Coritiba,26,1996,22.5,41,26,27,12,2,27,47,57.4,20,44,28,16,38,79,111,0,Matches
374,Derik Lacerda,br BRA,"FW,MF",Cuiabá,23,1999,7.3,13,10,9,3,1,8,16,50.0,8,6,1,5,3,16,4,0,Matches
375,Ignacio Laquintana,uy URU,FW,Bragantino,23,1999,2.0,4,3,0,3,1,0,1,0.0,1,1,0,1,1,5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
376,Thauan Lara,br BRA,"DF,MF",Internacional,19,2004,3.7,7,6,4,2,1,4,9,44.4,5,4,2,2,4,11,9,0,Matches
377,Lelê,br BRA,"FW,MF",Fluminense,25,1997,12.7,16,11,7,6,3,3,8,37.5,5,14,1,13,3,19,8,0,Matches
378,Mauricio Lemos,uy URU,DF,Atlético Mineiro,27,1995,24.6,41,29,30,9,2,27,35,77.1,8,31,25,6,41,82,120,0,Matches
379,Marcos Leonardo,br BRA,FW,Santos,19,2003,28.8,7,3,1,4,2,2,6,33.3,4,11,5,6,2,9,24,0,Matches
380,Lian,br BRA,MF,Grêmio,17,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
381,Lima,br BRA,"MF,FW",Fluminense,26,1996,28.1,38,20,9,24,5,16,50,32.0,34,31,9,22,21,59,22,0,Matches
382,Lucas Lima,br BRA,"MF,FW",Santos,32,1990,24.5,60,41,19,35,6,26,72,36.1,46,27,4,23,3,63,9,0,Matches
383,Leonardo Linck,br BRA,GK,Ath Paranaense,21,2001,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches
384,Liziero,br BRA,MF,Coritiba,24,1998,6.5,15,10,4,11,0,9,23,39.1,14,8,3,5,8,23,9,0,Matches
385,Marcelo Lomba,br BRA,GK,Palmeiras,36,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
386,José López,ar ARG,"FW,MF",Palmeiras,22,2000,6.6,9,4,1,4,4,1,10,10.0,9,5,1,4,4,13,13,0,Matches
387,Luan,br BRA,MF,São Paulo,23,1999,6.8,13,5,6,6,1,6,13,46.2,7,8,2,6,9,22,6,0,Matches
388,Lucão,br BRA,DF,Bragantino,24,1998,2.2,3,1,3,0,0,1,1,100.0,0,0,0,0,5,8,6,0,Matches
389,Lucão,br BRA,GK,Bragantino,21,2001,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
390,Lucas,br BRA,DF,Santos,21,2001,6.8,14,8,10,4,0,7,20,35.0,13,11,3,8,6,20,20,0,Matches
391,Ayrton Lucas,br BRA,DF,Flamengo,25,1997,28.8,62,45,31,21,10,37,68,54.4,31,21,5,16,14,76,52,0,Matches
392,Jean Lucas,br BRA,MF,Santos,24,1998,20.1,32,22,15,12,5,16,41,39.0,25,16,2,14,14,46,16,1,Matches
393,Jhonny Lucas,br BRA,MF,Goiás,22,2000,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
394,João Lucas,br BRA,DF,Santos,24,1998,9.0,21,15,9,10,2,11,19,57.9,8,16,3,13,15,36,22,0,Matches
395,Ruan Lucas,br BRA,"MF,FW",Coritiba,18,2004,0.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,Matches
396,Ian Luccas,br BRA,MF,Cruzeiro,19,2003,5.3,15,7,6,5,4,4,10,40.0,6,2,0,2,5,20,11,0,Matches
397,Pedro Luccas,br BRA,GK,Coritiba,19,2004,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
398,Luciano,br BRA,"MF,FW",São Paulo,29,1993,23.5,27,19,10,15,2,12,23,52.2,11,15,0,15,4,31,10,0,Matches
399,Thomas Luciano,br BRA,DF,Grêmio,21,2002,3.5,9,7,7,2,0,8,15,53.3,7,5,3,2,7,16,13,0,Matches
400,Luis,br BRA,FW,Cruzeiro,17,2005,0.1,2,1,0,2,0,1,1,100.0,0,1,0,1,1,3,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
401,Filipe Luís,br BRA,DF,Flamengo,37,1985,5.9,18,9,11,6,1,8,9,88.9,1,5,3,2,11,29,13,0,Matches
402,Victor Luis,br BRA,DF,Coritiba,29,1993,17.4,27,21,16,9,2,15,31,48.4,16,25,11,14,27,54,41,0,Matches
403,David Luiz,br BRA,DF,Flamengo,35,1987,11.0,13,9,8,4,1,6,12,50.0,6,13,11,2,10,23,56,0,Matches
404,Wallisson Luiz,br BRA,MF,Cruzeiro,25,1997,4.4,15,11,5,8,2,4,12,33.3,8,3,0,3,7,22,3,0,Matches
405,Machado,br BRA,MF,Cruzeiro,27,1996,25.3,38,23,13,16,9,12,29,41.4,17,18,5,13,33,71,25,2,Matches
406,Imanol Machuca,ar ARG,FW,Fortaleza,23,2000,7.5,18,10,5,9,4,9,18,50.0,9,11,0,11,3,21,1,0,Matches
407,Mádson,br BRA,"DF,MF",Ath Paranaense,31,1992,14.8,12,4,5,7,0,5,9,55.6,4,12,5,7,11,23,41,0,Matches
408,João Magno,br BRA,FW,Goiás,25,1997,10.9,5,4,1,3,1,1,5,20.0,4,9,1,8,2,7,18,0,Matches
409,Maguinho,br BRA,DF,Goiás,30,1993,31.7,50,32,28,16,6,25,52,48.1,27,42,21,21,39,89,86,1,Matches
410,Pablo Maia,br BRA,MF,São Paulo,21,2002,28.7,62,36,19,38,5,33,76,43.4,43,36,13,23,18,80,31,1,Matches
411,Thiago Maia,br BRA,MF,Flamengo,25,1997,23.3,49,31,21,24,4,27,61,44.3,34,23,12,11,29,78,38,1,Matches
412,Maicon,br BRA,DF,Santos,34,1988,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Matches
413,Maicon,br BRA,DF,Vasco da Gama,34,1988,13.9,19,13,15,4,0,9,13,69.2,4,23,17,6,17,36,84,0,Matches
414,Iago Maidana,br BRA,DF,América (MG),26,1996,24.0,32,15,22,9,1,12,22,54.5,10,31,21,10,32,64,107,0,Matches
415,Hugo Mallo,es ESP,DF,Internacional,31,1991,3.6,7,3,7,0,0,4,8,50.0,4,8,3,5,6,13,10,0,Matches
416,Léo Mana,br BRA,DF,Corinthians,18,2004,1.5,2,2,1,0,1,1,2,50.0,1,4,1,3,2,4,2,0,Matches
417,Alef Manga,br BRA,"FW,MF",Coritiba,28,1994,8.9,10,7,4,3,3,5,8,62.5,3,4,0,4,3,13,5,0,Matches
418,Manoel,br BRA,DF,Fluminense,32,1990,3.2,4,3,2,2,0,4,5,80.0,1,5,4,1,2,6,14,0,Matches
419,Fernando Marçal,br BRA,DF,Botafogo (RJ),33,1989,18.1,37,16,17,16,4,16,34,47.1,18,17,3,14,38,75,48,0,Matches
420,Marcelo,br BRA,DF,Fluminense,34,1988,14.7,26,19,7,12,7,15,29,51.7,14,13,4,9,12,38,17,1,Matches
421,Marcelo,br BRA,DF,Fortaleza,27,1996,12.0,18,12,10,7,1,9,17,52.9,8,16,11,5,17,35,46,0,Matches
422,João Marcelo,br BRA,DF,Cruzeiro,22,2000,1.8,3,3,2,1,0,1,1,100.0,0,2,2,0,4,7,9,0,Matches
423,Marcinho,br BRA,DF,América (MG),26,1996,8.9,11,7,7,3,1,6,22,27.3,16,14,5,9,17,28,32,1,Matches
424,Erick Marcus,br BRA,"MF,FW",Vasco da Gama,18,2004,4.4,10,5,0,6,4,6,10,60.0,4,1,0,1,4,14,5,0,Matches
425,Mariano,br BRA,DF,Atlético Mineiro,36,1986,17.4,48,31,30,16,2,34,50,68.0,16,11,4,7,20,68,33,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
426,Marinho,br BRA,"FW,DF",Flamengo,32,1990,0.9,2,2,0,1,1,0,3,0.0,3,2,1,1,0,2,0,0,Matches
427,Marinho,br BRA,"FW,MF",Fortaleza,32,1990,12.7,15,8,7,5,3,6,24,25.0,18,17,0,17,3,18,5,0,Matches
428,Marlon,br BRA,DF,Cruzeiro,25,1997,35.5,114,72,70,35,9,74,123,60.2,49,47,4,43,49,163,92,1,Matches
429,Marlon,br BRA,DF,América (MG),28,1994,18.6,37,26,20,16,1,22,36,61.1,14,32,6,26,31,68,49,0,Matches
430,Marlon,br BRA,DF,Fluminense,27,1995,10.4,11,5,7,3,1,8,10,80.0,2,12,9,3,9,20,30,0,Matches
431,Igor Marques,br BRA,DF,Cruzeiro,24,1999,1.3,5,2,2,3,0,2,5,40.0,3,3,1,2,1,6,4,0,Matches
432,Renato Marques,br BRA,"FW,MF",América (MG),19,2003,5.7,4,2,3,1,0,2,5,40.0,3,1,0,1,2,6,5,0,Matches
433,Juan Martín Lucero,ar ARG,FW,Fortaleza,31,1991,23.0,13,7,3,4,6,5,17,29.4,12,11,3,8,4,17,12,1,Matches
434,Martinelli,br BRA,"MF,DF",Fluminense,21,2001,20.9,31,24,12,12,7,15,26,57.7,11,35,18,17,13,44,27,0,Matches
435,Andre Martins,br BRA,"FW,MF",Grêmio,21,2001,4.1,9,9,2,5,2,4,7,57.1,3,6,1,5,1,10,5,0,Matches
436,Gustavo Martins Santos,br BRA,"DF,MF",Grêmio,20,2002,7.7,21,13,15,5,1,7,11,63.6,4,14,8,6,5,26,37,0,Matches
437,Gonzalo Mastriani,uy URU,FW,América (MG),29,1993,19.9,11,7,0,6,5,6,20,30.0,14,11,3,8,1,12,11,0,Matches
438,Matheusinho,br BRA,"MF,FW",América (MG),24,1998,2.5,5,3,3,1,1,1,3,33.3,2,4,0,4,1,6,0,0,Matches
439,Matheusinho,br BRA,DF,Cuiabá,24,1998,4.8,11,8,9,2,0,8,16,50.0,8,3,1,2,5,16,14,0,Matches
440,Matheuzinho,br BRA,DF,Flamengo,22,2000,6.9,20,9,12,6,2,12,20,60.0,8,12,4,8,7,27,15,0,Matches
441,Mauricio,br BRA,"FW,MF",Internacional,21,2001,19.6,19,11,7,10,2,12,36,33.3,24,14,2,12,10,29,9,0,Matches
442,Maycon,br BRA,MF,Corinthians,25,1997,26.7,43,26,20,17,6,22,57,38.6,35,39,5,34,33,76,36,0,Matches
443,Mayke,br BRA,"DF,FW",Palmeiras,30,1992,27.8,53,31,24,23,6,29,42,69.0,13,28,8,20,43,96,37,0,Matches
444,Gary Medel,cl CHI,"DF,MF",Vasco da Gama,35,1987,19.2,22,5,13,8,1,10,29,34.5,19,26,20,6,20,42,77,1,Matches
445,Bruno Melo,br BRA,DF,Goiás,30,1992,32.1,21,13,15,5,1,8,18,44.4,10,24,15,9,17,38,132,2,Matches
446,Felipe Melo,br BRA,DF,Fluminense,39,1983,11.0,12,10,4,7,1,5,11,45.5,6,12,7,5,8,20,44,0,Matches
447,Darlan Mendes,br BRA,MF,Grêmio,24,1998,0.5,2,1,2,0,0,0,4,0.0,4,0,0,0,0,2,1,0,Matches
448,Matheus Mendes,br BRA,GK,Atlético Mineiro,23,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
449,Nathan Mendes,br BRA,DF,São Paulo,20,2002,13.1,21,14,11,7,3,10,16,62.5,6,15,3,12,18,39,22,0,Matches
450,Vitor Mendes,br BRA,DF,Fluminense,23,1999,1.2,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,13,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
451,Bruno Méndez,uy URU,DF,Corinthians,23,1999,18.3,39,22,22,15,2,23,40,57.5,17,23,11,12,22,61,72,0,Matches
452,Jhegson Méndez,ec ECU,MF,São Paulo,25,1997,4.1,6,4,2,4,0,1,5,20.0,4,4,0,4,6,12,2,0,Matches
453,Óscar Méndez,uy URU,MF,América (MG),28,1994,2.9,8,6,0,8,0,4,10,40.0,6,3,1,2,4,12,11,0,Matches
454,Stiven Mendoza,co COL,"FW,MF",Santos,30,1992,18.6,25,13,5,13,7,13,26,50.0,13,20,0,20,11,36,5,0,Matches
455,Gabriel Menino,br BRA,MF,Palmeiras,22,2000,17.7,37,24,18,15,4,18,43,41.9,25,28,4,24,15,52,14,0,Matches
456,Gabriel Mercado,ar ARG,DF,Internacional,35,1987,24.2,32,18,22,9,1,18,33,54.5,15,21,12,9,23,55,87,0,Matches
457,Higor Meritão,br BRA,MF,Goiás,28,1994,2.5,8,2,4,3,1,4,12,33.3,8,4,0,4,3,11,6,0,Matches
458,Messias,br BRA,DF,Santos,28,1994,26.6,22,15,16,6,0,16,21,76.2,5,32,23,9,36,58,164,1,Matches
459,Bruno Mezenga,br BRA,"FW,MF",Santos,34,1988,1.9,3,1,0,2,1,1,2,50.0,1,3,0,3,0,3,3,0,Matches
460,Carlos Miguel,br BRA,GK,Corinthians,24,1998,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
461,Fernando Miguel,br BRA,GK,Fortaleza,37,1985,5.1,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,1,Matches
462,Mikael,br BRA,FW,América (MG),23,1999,1.7,2,1,0,2,0,1,5,20.0,4,0,0,0,0,2,0,0,Matches
463,Lucas Milla,br BRA,MF,Grêmio,20,2003,3.4,10,4,3,6,1,5,14,35.7,9,10,4,6,4,14,6,0,Matches
464,Mina,br BRA,DF,Goiás,19,2003,0.5,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches
465,Lucas Mineiro,br BRA,MF,Cuiabá,26,1996,6.8,10,3,1,4,5,3,10,30.0,7,9,5,4,4,14,6,0,Matches
466,Vinicius Mingotti,br BRA,FW,Bahia,23,2000,7.3,6,5,3,2,1,1,4,25.0,3,2,1,1,2,8,4,0,Matches
467,Miranda,br BRA,DF,Vasco da Gama,23,2000,4.3,4,3,2,2,0,3,5,60.0,2,2,1,1,4,8,19,0,Matches
468,Moises,br BRA,"MF,FW",Fortaleza,26,1996,4.1,3,3,1,1,1,1,9,11.1,8,1,0,1,3,6,1,0,Matches
469,Rodrigo Moledo,br BRA,DF,Internacional,35,1987,5.3,2,2,1,1,0,0,3,0.0,3,10,8,2,3,5,35,0,Matches
470,Rafael Monteiro,br BRA,MF,Fluminense,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
471,Júnior Moraes,ua UKR,DF,Corinthians,35,1987,0.0,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
472,João Moreira,pt POR,DF,São Paulo,18,2004,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches
473,Everton Morelli,br BRA,MF,Goiás,25,1997,28.7,69,48,37,27,5,32,58,55.2,26,28,6,22,28,97,43,1,Matches
474,Alfredo Morelos,co COL,"FW,MF",Santos,26,1996,0.9,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
475,Marcelino Moreno,ar ARG,MF,Coritiba,28,1994,25.6,32,19,11,19,2,8,27,29.6,19,15,2,13,13,45,5,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
476,Gabriel Moscardo,br BRA,MF,Corinthians,17,2005,12.6,37,22,20,15,2,18,40,45.0,22,29,9,20,20,57,28,0,Matches
477,Henry Mosquera,co COL,"FW,MF",Bragantino,21,2001,11.8,16,11,6,7,3,9,15,60.0,6,13,4,9,1,17,3,0,Matches
478,Gustavo Mosquito,br BRA,"FW,MF",Corinthians,25,1997,3.4,7,5,2,3,2,3,7,42.9,4,2,1,1,1,8,10,0,Matches
479,Hugo Moura,br BRA,MF,Ath Paranaense,25,1998,14.7,41,19,21,19,1,14,45,31.1,31,31,4,27,19,60,27,0,Matches
480,Lucas Moura,br BRA,"FW,MF",São Paulo,30,1992,9.6,6,0,1,4,1,2,13,15.4,11,7,1,6,7,13,8,0,Matches
481,Neto Moura,br BRA,MF,Cruzeiro,26,1996,5.5,9,3,3,5,1,4,23,17.4,19,4,0,4,7,16,3,0,Matches
482,Lucas Mugni,ar ARG,"MF,FW",Bahia,31,1992,4.0,6,5,4,2,0,1,11,9.1,10,3,0,3,4,10,2,0,Matches
483,Murillo,br BRA,DF,Corinthians,20,2002,12.9,16,9,7,9,0,4,11,36.4,7,31,22,9,16,32,65,1,Matches
484,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,24,1998,12.5,37,21,18,16,3,14,35,40.0,21,19,3,16,20,57,23,0,Matches
485,Bruno Nascimento,br BRA,"FW,MF",Cruzeiro,25,1997,31.3,36,23,12,14,10,11,28,39.3,17,29,0,29,8,44,22,0,Matches
486,Matheus Nascimento,br BRA,"FW,MF",Botafogo (RJ),18,2004,1.1,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,Matches
487,Nata,br BRA,"FW,DF",Grêmio,21,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
488,Natan,br BRA,DF,Bragantino,21,2001,9.3,6,5,5,1,0,4,7,57.1,3,15,10,5,9,15,30,1,Matches
489,Natanael,br BRA,DF,Coritiba,21,2002,27.8,91,63,55,29,7,54,87,62.1,33,39,10,29,31,122,70,1,Matches
490,Nathan,br BRA,DF,Santos,21,2001,5.5,14,13,10,3,1,10,19,52.6,9,4,0,4,8,22,8,0,Matches
491,Nathan,br BRA,"MF,FW",Grêmio,26,1996,7.6,11,6,4,3,4,3,10,30.0,7,15,2,13,8,19,6,0,Matches
492,Rafael Navarro,br BRA,FW,Palmeiras,22,2000,1.4,0,0,0,0,0,0,0,,0,4,0,4,1,1,1,0,Matches
493,Kaiky Naves,br BRA,"DF,FW",Palmeiras,20,2002,5.8,14,9,6,8,0,11,16,68.8,5,10,6,4,4,18,17,0,Matches
494,Felipe Negrucci,br BRA,MF,São Paulo,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
495,Emerson Negueba,br BRA,FW,Cuiabá,22,2000,5.4,7,4,2,4,1,2,5,40.0,3,8,0,8,3,10,5,0,Matches
496,Neris,br BRA,DF,Cruzeiro,30,1992,23.5,31,18,19,10,2,21,30,70.0,9,17,9,8,35,66,98,1,Matches
497,Rodrigo Nestor,br BRA,"MF,FW",São Paulo,22,2000,16.1,23,15,6,16,1,11,35,31.4,24,11,0,11,11,34,5,0,Matches
498,João Neto,br BRA,"MF,DF",Fluminense,19,2003,0.6,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,Matches
499,Gabriel Neves,uy URU,MF,São Paulo,25,1997,10.7,24,14,6,12,6,10,39,25.6,29,19,2,17,3,27,15,0,Matches
500,Newton,br BRA,MF,Botafogo (RJ),22,2000,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
501,Nicolas,br BRA,DF,América (MG),25,1997,8.0,12,6,9,3,0,5,14,35.7,9,19,5,14,11,23,28,0,Matches
502,Nikão,br BRA,"FW,MF",Cruzeiro,30,1992,8.9,15,10,7,8,0,8,13,61.5,5,8,1,7,6,21,4,0,Matches
503,Nino,br BRA,DF,Fluminense,25,1997,23.9,11,6,10,1,0,5,8,62.5,3,18,14,4,22,33,96,2,Matches
504,Freddy Noguera,py PAR,FW,Grêmio,19,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
505,Nonato,br BRA,MF,Santos,24,1998,7.3,21,15,6,13,2,10,22,45.5,12,14,3,11,14,35,3,0,Matches
506,Gabriel Novaes,br BRA,FW,Goiás,23,1999,1.1,1,1,0,1,0,1,5,20.0,4,2,1,1,0,1,2,0,Matches
507,Ruan Oliveira Ferreira,br BRA,"MF,FW",Corinthians,22,2000,9.8,23,13,12,10,1,13,36,36.1,23,13,1,12,8,31,13,1,Matches
508,Lucas Oliveira,br BRA,DF,Cruzeiro,26,1996,14.6,16,10,12,4,0,7,17,41.2,10,30,19,11,21,37,66,0,Matches
509,Pedro Oliveira,br BRA,"FW,MF",Goiás,18,2004,2.2,5,5,0,4,1,1,3,33.3,2,2,1,1,0,5,1,0,Matches
510,Cauly Oliveira Souza,br BRA,"MF,FW",Bahia,27,1995,28.3,23,12,2,18,3,6,23,26.1,17,17,1,16,13,36,6,0,Matches
511,Luca Orellano,ar ARG,"FW,MF",Vasco da Gama,22,2000,6.9,14,7,7,5,2,8,18,44.4,10,10,1,9,3,17,3,0,Matches
512,Leo Ortiz,br BRA,DF,Bragantino,27,1996,17.8,18,11,13,5,0,9,15,60.0,6,21,18,3,30,48,75,1,Matches
513,Otávio,br BRA,MF,Atlético Mineiro,28,1994,25.6,75,40,33,35,7,34,84,40.5,50,41,16,25,27,102,34,0,Matches
514,João Othavio Basso,br BRA,DF,Santos,26,1997,12.8,20,10,14,4,2,11,23,47.8,12,9,6,3,23,43,57,0,Matches
515,Luis Oyama,br BRA,MF,Goiás,26,1997,6.2,7,5,1,6,0,1,10,10.0,9,8,2,6,8,15,4,0,Matches
516,Pablinho,br BRA,FW,Cuiabá,19,2003,0.4,3,2,0,3,0,1,3,33.3,2,1,0,1,0,3,0,0,Matches
517,Pablo,br BRA,FW,Ath Paranaense,30,1992,15.5,18,10,4,11,3,7,16,43.8,9,11,1,10,8,26,19,0,Matches
518,Pablo,br BRA,DF,Flamengo,31,1991,4.7,4,3,4,0,0,0,0,,0,3,1,2,7,11,35,1,Matches
519,Bruno Pacheco,br BRA,DF,Fortaleza,31,1991,29.7,69,45,38,25,6,39,66,59.1,27,26,3,23,39,108,57,0,Matches
520,Helibelton Palacios,co COL,DF,Cruzeiro,29,1993,7.0,14,12,5,8,1,7,15,46.7,8,11,0,11,5,19,20,0,Matches
521,Julián Palacios,ar ARG,"FW,MF",Goiás,23,1999,18.1,27,16,4,13,10,9,45,20.0,36,13,0,13,12,39,6,0,Matches
522,Nino Paraíba,br BRA,DF,América (MG),37,1986,2.2,2,2,0,2,0,0,2,0.0,2,2,0,2,4,6,2,0,Matches
523,Mateus Pasinato,br BRA,GK,América (MG),30,1992,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,2,Matches
524,Weslley Patati,br BRA,"FW,MF",Santos,19,2003,1.5,5,2,1,3,1,3,9,33.3,6,3,0,3,4,9,1,0,Matches
525,Alexandre Pato,br BRA,"FW,MF",São Paulo,33,1989,1.8,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
526,Patrick,br BRA,"MF,FW",Atlético Mineiro,30,1992,6.2,28,19,9,10,9,11,26,42.3,15,11,1,10,6,34,9,0,Matches
527,Alan Patrick,br BRA,"MF,FW",Internacional,31,1991,27.2,23,8,8,11,4,14,44,31.8,30,20,2,18,9,32,7,0,Matches
528,Luan Patrick,br BRA,DF,Bragantino,21,2002,12.4,9,6,5,4,0,5,12,41.7,7,12,10,2,17,26,33,1,Matches
529,Patryck,br BRA,DF,São Paulo,20,2003,4.2,6,4,4,1,1,3,6,50.0,3,5,1,4,7,13,13,0,Matches
530,Giuliano de Paula,br BRA,"MF,FW",Corinthians,32,1990,18.1,34,16,9,20,5,14,44,31.8,30,15,3,12,13,47,20,0,Matches
531,Jair Paula,br BRA,DF,Santos,17,2005,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
532,Paulinho,br BRA,DF,América (MG),18,2004,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
533,Paulinho,br BRA,"FW,MF",Atlético Mineiro,22,2000,33.2,43,31,14,24,5,18,37,48.6,19,25,1,24,16,59,17,0,Matches
534,Paulinho,br BRA,MF,Vasco da Gama,26,1997,18.2,42,23,18,19,5,15,37,40.5,22,26,3,23,16,58,16,0,Matches
535,Paulinho,br BRA,DF,Vasco da Gama,17,2005,0.5,,0,,,,,,,,,,,0,,,,Matches
536,Paulinho,br BRA,"MF,FW",Corinthians,34,1988,1.6,4,3,2,2,0,3,5,60.0,2,4,1,3,1,5,4,0,Matches
