Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Fabricio Bustos,ar ARG,DF,Internacional,26,1996,27.8,3,17,6,35.3,0.61,0.22,0.18,0.50,23.6,0,0,0,1.0,1.0,0.06,#ERROR!,#ERROR!,Matches
102,Rafael Cabral,br BRA,GK,Cruzeiro,32,1990,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
103,Cacá,br BRA,DF,Ath Paranaense,23,1999,18.8,2,9,2,22.2,0.48,0.11,0.22,1.00,11.6,0,0,0,1.1,1.1,0.12,#ERROR!,#ERROR!,Matches
104,Cadu,br BRA,DF,Santos,20,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
105,Caetano,br BRA,DF,Corinthians,23,1999,13.4,0,3,0,0.0,0.22,0.00,0.00,,8.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
106,Jonathan Cafu,br BRA,"FW,MF",Cuiabá,31,1991,19.0,0,17,5,29.4,0.90,0.26,0.00,0.00,16.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
107,Júnior Caiçara,br BRA,DF,Santos,33,1989,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,Rodrigo Caio,br BRA,"MF,DF",Flamengo,29,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Caíque,br BRA,GK,Grêmio,25,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Calebe,br BRA,"MF,FW",Fortaleza,22,2000,16.4,2,39,15,38.5,2.37,0.91,0.05,0.13,21.0,7,0,0,3.0,3.0,0.08,-1.0,-1.0,Matches
111,Jonathan Calleri,ar ARG,FW,São Paulo,29,1993,15.0,9,44,20,45.5,2.93,1.33,0.16,0.35,11.4,0,2,2,8.5,6.9,0.16,#ERROR!,#ERROR!,Matches
112,Patric Calmon PK,br BRA,DF,Cuiabá,28,1994,5.8,0,2,1,50.0,0.35,0.17,0.00,0.00,21.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
113,Guilherme Camacho,br BRA,MF,Santos,32,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
