,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
,36.00,Michel Araujo,uy URU,"FW,MF",São Paulo,26.00,"1,996.00",32.00,19.00,"1,768.00",19.60,2.00,1.00,3.00,2.00,0.00,0.00,3.00,0.00,4.80,4.80,2.40,7.20,71.00,91.00,157.00,0.10,0.05,0.15,0.10,0.15,0.24,0.12,0.37,0.24,0.37,Matches
,37.00,Robert Arboleda,ec ECU,DF,São Paulo,31.00,"1,991.00",20.00,19.00,"1,721.00",19.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.90,0.90,0.30,1.20,2.00,42.00,5.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
,38.00,Jhon Arias,co COL,"FW,MF",Fluminense,25.00,"1,997.00",29.00,26.00,"2,385.00",26.50,7.00,7.00,14.00,5.00,2.00,2.00,5.00,1.00,5.80,4.20,4.70,8.90,142.00,108.00,300.00,0.26,0.26,0.53,0.19,0.45,0.22,0.18,0.40,0.16,0.34,Matches
,39.00,Luciano Arriagada,cl CHI,"FW,MF",Ath Paranaense,20.00,"2,002.00",10.00,1.00,190.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.90,0.60,1.50,5.00,2.00,12.00,0.00,0.00,0.00,0.00,0.00,0.42,0.27,0.69,0.42,0.69,Matches
,40.00,Arthur,br BRA,"FW,MF",Cruzeiro,24.00,"1,998.00",20.00,17.00,"1,350.00",15.00,3.00,1.00,4.00,3.00,0.00,0.00,3.00,0.00,3.60,3.60,1.30,4.90,66.00,38.00,112.00,0.20,0.07,0.27,0.20,0.27,0.24,0.09,0.33,0.24,0.33,Matches
,41.00,Arthur,br BRA,DF,América (MG),19.00,"2,003.00",1.00,1.00,90.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
,42.00,Arthur,br BRA,"DF,FW",Fluminense,18.00,"2,004.00",2.00,0.00,20.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,2.44,0.00,2.44,Matches
,43.00,Artur,br BRA,FW,Palmeiras,24.00,"1,998.00",31.00,22.00,"1,896.00",21.10,5.00,2.00,7.00,5.00,0.00,0.00,2.00,0.00,5.00,5.00,3.40,8.40,85.00,81.00,218.00,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.40,0.24,0.40,Matches
,44.00,Eduard Atuesta,co COL,MF,Palmeiras,25.00,"1,997.00",1.00,0.00,5.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,45.00,Felipe Augusto,br BRA,"FW,MF",Corinthians,18.00,"2,004.00",15.00,2.00,322.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,4.00,3.00,15.00,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
